study_id,citation,year,domain_top1,domain_top1_conf,domain_top2,domain_top2_conf,domain_top3,domain_top3_conf,region_top1,region_top1_conf,region_top2,region_top2_conf,region_top3,region_top3_conf,reliability_top1,reliability_top1_conf,reliability_top2,reliability_top2_conf,reliability_top3,reliability_top3_conf,confidence_score,notes
study_0003,"Shochat, H",2030,Archaeology,0.395,Paleography,0.388,Paleoclimatology,0.378,Southern Levant,0.337,Egypt,0.287,Sinai,0.218,Medium,0.091,High,0.031,Low,-0.003,0.274,"Shochat, H.; Makarewicz, C.A.; Bar-Oz, G.; Buckley, M.; Reynard, L.M.; Gilboa, A. Shochat, Harel (57211793677); Makarewicz, Cheryl A. (12786139100); Bar-Oz, Guy (6507839206); Buckley, Michael (5720306"
study_0004,"Trębicka, J",2020,Isotope Geochemistry,0.521,Paleoclimatology,0.409,Radiocarbon Chronology,0.404,Egypt,0.179,Southern Levant,0.166,Sinai,0.136,Low,-0.001,High,-0.004,Medium,-0.007,0.233,"Trębicka, J.; Hosseinzadeh, J.; Sołtysiak, A. Trębicka, Joanna (57216507306); Hosseinzadeh, Javad (56398520200); Sołtysiak, Arkadiusz (24399703600) 57216507306; 56398520200; 24399703600 Patterns of Mo"
study_0002,"Cavazzuti, C",2046,Epigraphy,0.232,Stratigraphy,0.215,Radiocarbon Chronology,0.178,Southern Levant,0.124,Egypt,0.084,Sinai,0.039,High,0.063,Low,0.049,Medium,0.038,0.14,"Cavazzuti, C.; Horváth, A.; Gémes, A.; Fülöp, K.; Szeniczey, T.; Tarbay, J.G.; McCall, A.; Rubio, B.G.; Vicze, M.; Bárány, A.; Pető, Á.; Magyari, E.K.; Darabos, G.; Futó, I.; Lisztes-Szabó, Z.; Molnár"
study_0001,"Lee, J",1925,Epigraphy,0.298,Archaeology,0.231,Settlement Archaeology,0.213,Southern Levant,0.19,Sinai,0.19,Egypt,0.14,Medium,0.048,High,0.046,Low,0.024,0.179,"Lee, J.; Brosseder, U.; Moon, H.; Stahl, R.; Semerau, L.; Gantulga, J.-O.; Magail, J.; Bemmann, J.; Yeruul-Erdene, C.; Warinner, C.; Jeong, C. Lee, Juhyeon (57482951300); Brosseder, Ursula B. (5356319"
study_0005,"Kaupová, S",1849,Isotope Geochemistry,0.376,Radiocarbon Chronology,0.222,Ceramic Analysis,0.206,Sinai,0.161,Egypt,0.104,Southern Levant,0.055,Low,0.026,High,0.016,Medium,0.006,0.187,"Kaupová, S.; Půtová, L.; Ernée, M.; Kočár, P.; Kovačiková, L.; Parma, D.; Salaš, M.; Unger, J.; Velemínský, P. Kaupová, Sylva (55940830700); Půtová, Lenka (57218499191); Ernée, Michal (26631537900); K"
study_0006,"Sörman, A",1940,Isotope Geochemistry,0.468,Archaeology,0.401,Radiocarbon Chronology,0.364,Southern Levant,0.039,Egypt,0.013,Sinai,-0.0,High,-0.019,Low,-0.03,Medium,-0.035,0.163,"Sörman, A.; Ojala, K.; Grandin, L. Sörman, Anna (57194088515); Ojala, Karin (57219149018); Grandin, Lena (55334126800) 57194088515; 57219149018; 55334126800 A foreign cauldron full of imports: Element"
study_0008,"Gavranović, M",1927,Stratigraphy,0.204,Paleoclimatology,0.184,Isotope Geochemistry,0.183,Southern Levant,0.148,Sinai,0.123,Egypt,0.118,High,0.094,Low,0.082,Medium,0.045,0.148,"Gavranović, M.; Mehofer, M.; Kapuran, A.; Koledin, J.; Mitrović, J.; Papazovska, A.; Pravidur, A.; Đorđević, A.; Jacanović, D. Gavranović, Mario (42161321600); Mehofer, Mathias (35092874300); Kapuran,"
study_0007,"Stróżyk, M",1860,Isotope Geochemistry,0.495,Radiocarbon Chronology,0.429,Paleoclimatology,0.385,Egypt,0.131,Sinai,0.128,Southern Levant,0.104,High,-0.008,Low,-0.017,Medium,-0.024,0.206,"Stróżyk, M.; Pospieszny, Ł.; Belka, Z.; Garbacz-Klempka, A.; Silska, P.; Wardas-Lasoń, M. Stróżyk, Mateusz (56993454100); Pospieszny, Lukasz (56422364100); Belka, Zdzislaw (6701860549); Garbacz-Klempk"
study_0009,"Frank, A",2031,Epigraphy,0.233,Isotope Geochemistry,0.177,Stratigraphy,0.174,Sinai,0.161,Southern Levant,0.12,Egypt,0.094,High,0.095,Low,0.086,Medium,0.074,0.163,"Frank, A.B.; May, J.; Sabatini, S.; Schopper, F.; Frei, R.; Kaul, F.; Storch, S.; Hansen, S.; Kristiansen, K.; Frei, K.M. Frank, Anja B. (57203135876); May, Jens (57328131800); Sabatini, Serena (57038"
study_0010,"Bruins, H",2025,Radiocarbon Chronology,0.536,Isotope Geochemistry,0.455,Volcanology,0.397,Egypt,0.346,Sinai,0.26,Southern Levant,0.143,High,0.031,Low,0.02,Medium,-0.036,0.304,"Bruins, H.J.; van der Plicht, J. Bruins, Hendrik J. (6701689157); van der Plicht, Johannes (22973650100) 6701689157; 22973650100 The Minoan Thera eruption predates Pharaoh Ahmose: Radiocarbon dating o"
study_0011,"Berger, D",2031,Ceramic Analysis,0.335,Artifact Typology,0.316,Isotope Geochemistry,0.298,Sinai,0.279,Egypt,0.187,Southern Levant,0.115,High,-0.027,Medium,-0.035,Low,-0.058,0.196,"Berger, D.; Matta, V.; Ialongo, N.; Nørgaard, H.W.; Salis, G.; Brauns, M.; Holst, M.K.; Vandkilde, H. Berger, Daniel (56539352300); Matta, Valentina (57210551696); Ialongo, Nicola (55932387400); Nørga"
study_0012,"Zhou, T",1931,Archaeology,0.358,Radiocarbon Chronology,0.338,Isotope Geochemistry,0.293,Egypt,0.137,Southern Levant,0.13,Sinai,0.065,High,0.058,Medium,0.036,Low,0.0,0.184,"Zhou, T.; Hong, M.; Zuo, J.; Zhang, W.; Li, Y.; Li, C. Zhou, Tiancheng (59517314600); Hong, Meng (59516687600); Zuo, Jieyi (59517221700); Zhang, Wenrui (59963484300); Li, Yanxiang (54681931800); Li, C"
study_0014,"Pizzo, P",1806,Ceramic Analysis,0.344,Hydrology,0.307,Archaeology,0.302,Egypt,0.135,Sinai,0.085,Southern Levant,0.062,Medium,0.016,High,-0.016,Low,-0.025,0.165,"Pizzo, P.; Válek, J.; Frankeová, D. Pizzo, Paola (58950554700); Válek, Jan (7006071806); Frankeová, Dita (55453441300) 58950554700; 7006071806; 55453441300 Waterproof, hydraulic or natural hydraulic? "
